RunNr;RunType;HitscoreThreshold;pnccdGainLevel;MultiscoreThreshold;DarkNr;pnccdGapTopMM;pnccdGapBottomMM
154;sample;4000;4;10;145;0.8;3.0
155;void;-1;4;-1;145;0.8;3.0
156;sample;4000;4;10;145;0.8;3.0
157;sample;4000;4;10;145;0.8;3.0
158;;;;
159;;;;
160;background;-1;4;-1;145;0.8;3.0
161;holography;4000;4;10;145;0.8;3.0
162;;;;
163;dark;-1;4;-1;163
164;sample;4000;4;10;163;0.8;3.0
165;sample;4000;4;10;163;0.8;3.0
166;sample;4000;4;10;163;0.8;3.0
167;dark;-1;16;-1;167
168;sample;300;16;10;167;0.8;3.0
169;sample;300;16;10;167;0.8;3.0
170;background;-1;16;-1;167
171;sample;300;16;10;167;0.8;3.0
172;sample;300;16;10;167;0.8;3.0
173;holography;500;16;10;167;0.8;3.0
174;holography;500;16;10;167;0.8;3.0
175;sample;300;16;10;167;0.8;3.0
176;sample;300;16;10;167;0.8;3.0
177;sample;300;16;10;167;0.8;3.0
178;void;-1;16;-1;167;0.8;3.0
179;sample;20;16;10;167;0.8;3.0
180;sample;20;16;10;167;0.8;3.0
181;;;;
182;dark;-1;16;-1;183;0.8;3.0
183;sample;500;16;10;182;0.8;3.0
184;sample;500;16;10;182;0.8;3.0
185;sample;500;16;10;182;0.8;3.0
186;sample;500;16;10;182;0.8;3.0
187;sample;500;16;10;182;0.8;3.0
188;sample;500;16;10;182;0.8;3.0
189;sample;500;16;10;182;0.8;3.0
190;dark;-1;-1;190;0.8;3.0
191;dark;-1;16;-1;191;0.8;3.0
192;holography;800;16;10;191;0.8;3.0
193;holography;800;16;10;191;0.8;3.0
194;dark;-1;4;-1;194;0.8;3.0
195;holography;4000;4;10;194;0.8;3.0
196;void;500;4;10;194;0.8;3.0
197;holography;4000;4;10;194;0.8;3.0
198;holography;4000;4;10;194;0.8;3.0
199;holography;4000;4;10;194;0.8;3.0
200;holography;4000;4;10;194;0.8;3.0
201;holography;3000;4;10;194;0.8;3.0
202;dark;-1;16;-1;202;0.8;3.0
203;sample;500;16;10;202;0.8;3.0
204;dark;-1;64;-1;204;0.8;3.0
205;holography;200;64;10;204;0.8;3.0
206;holography;200;64;10;204;0.8;3.0
207;holography;200;64;10;204;0.8;3.0
208;holography;200;64;10;204;0.8;3.0
209;holography;200;64;10;204;0.8;3.0
210;holography;200;64;10;204;0.8;3.0
211;sample;200;64;10;204;0.8;3.0
212;sample;200;64;10;204;0.8;3.0
213;holography;200;64;10;204;0.8;3.0
214;holography;200;64;10;204;0.8;3.0
215;holography;200;64;10;204;0.8;3.0
216;sample;200;64;10;204;0.8;3.0
217;sample;200;64;10;204;0.8;3.0
218;sample;200;64;10;204;0.8;3.0
219;dark;-1;16;-1;219;0.8;3.0
220;holography;500;16;10;219;0.8;3.0
221;dark;-1;64;-1;221;0.8;3.0
222;holography;200;64;10;2;0.8;3.0
223;holography;200;64;10;219;0.8;3.0
224;holography;200;64;10;219;0.8;3.0
225;cluster;200;64;10;219;0.8;3.0
226;dark;-1;1;-1;226;0.8;3.0
227;sample;6000;1;10;226;0.8;3.0
228;dark;-1;4;-1;228;0.8;3.0
229;sample;4000;1;10;226;0.8;3.0
230;sample;4000;1;10;226;0.8;3.0
231;;;;
232;;;;
233;;;;
234;;;;
235;;;;
236;;;;
